url,label
https://www.wikipedia.org,safe
https://www.youtube.com,safe
https://www.amazon.com,safe
https://www.netflix.com,safe
https://www.bbc.com,safe
https://www.coursera.org,safe
https://www.khanacademy.org,safe
https://github.com,safe
https://stackoverflow.com,safe
https://www.nytimes.com,safe


https://fmhy.net/,pirated
https://kisscartoon.nz,pirated
https://kisscartoon.space,pirated
https://watchcartoononline.com,pirated
https://themoviedb.tv,pirated
https://dotthemovie.net,pirated
https://movielove.org,pirated
https://moviesgenie.com,pirated
https://mlbmovies.com,pirated
https://soapnatur.com,pirated
https://ww3.soap2dayhdz.com,pirated
